X,Y,CANTIDAD,SQR CANTIDAD,,,,,,,,
40.005,16.802,0.633910769,0.796185135,,,,,,,,
40.005,16.98,0.633910769,0.796185135,,,,,,,,
40.005,13.627,0.633910769,0.796185135,,,,,,,,
40.005,13.805,0.633910769,0.796185135,,,,,,,,
40.005,15.405,0.633910769,0.796185135,,,,,,,,
40.005,15.583,0.633910769,0.796185135,,,,,,,,
40.005,10.63,0.633910769,0.796185135,,,,,,,,
40.005,10.452,0.633910769,0.796185135,,,,,,,,
40.005,12.408,0.633910769,0.796185135,,,,,,,,
40.005,12.23,0.633910769,0.796185135,,,,,,,,
41.91,15.583,0.633910769,0.796185135,,,,,,,,
41.91,15.405,0.633910769,0.796185135,,,,,,,,
41.91,13.805,0.633910769,0.796185135,,,,,,,,
41.91,13.627,0.633910769,0.796185135,,,,,,,,
40.934,30.6088,0.567146813,0.753091504,,,,,,,,
40.934,30.2292,0.567146813,0.753091504,,,,,,,,
27.051,44.2602,0.567146813,0.753091504,,,,,,,,
27.051,44.6398,0.567146813,0.753091504,,,,,,,,
28.829,44.2602,0.567146813,0.753091504,,,,,,,,
28.829,44.6398,0.567146813,0.753091504,,,,,,,,
27.051,21.4002,0.567146813,0.753091504,,,,,,,,
27.051,21.7798,0.567146813,0.753091504,,,,,,,,
28.829,21.4002,0.567146813,0.753091504,,,,,,,,
28.829,21.7798,0.567146813,0.753091504,,,,,,,,
20.701,33.4652,0.567146813,0.753091504,,,,,,,,
20.701,33.8448,0.567146813,0.753091504,,,,,,,,
22.479,33.4652,0.567146813,0.753091504,,,,,,,,
22.479,33.8448,0.567146813,0.753091504,,,,,,,,
27.051,17.5902,0.567146813,0.753091504,,,,,,,,
27.051,17.9698,0.567146813,0.753091504,,,,,,,,
28.829,17.5902,0.567146813,0.753091504,,,,,,,,
28.829,17.9698,0.567146813,0.753091504,,,,,,,,
22.479,17.9698,0.567146813,0.753091504,,,,,,,,
22.479,17.5902,0.567146813,0.753091504,,,,,,,,
20.701,17.9698,0.567146813,0.753091504,,,,,,,,
20.701,17.5902,0.567146813,0.753091504,,,,,,,,
19.304,27.1152,0.567146813,0.753091504,,,,,,,,
19.304,27.4948,0.567146813,0.753091504,,,,,,,,
20.701,27.1152,0.567146813,0.753091504,,,,,,,,
20.701,27.4948,0.567146813,0.753091504,,,,,,,,
22.479,27.1152,0.567146813,0.753091504,,,,,,,,
22.479,27.4948,0.567146813,0.753091504,,,,,,,,
39.156,30.6088,0.567146813,0.753091504,,,,,,,,
39.156,30.2292,0.567146813,0.753091504,,,,,,,,
16.129,17.5902,0.567146813,0.753091504,,,,,,,,
16.129,17.9698,0.567146813,0.753091504,,,,,,,,
58.039,39.1802,0.567146813,0.753091504,,,,,,,,
58.039,39.5598,0.567146813,0.753091504,,,,,,,,
59.817,39.1802,0.567146813,0.753091504,,,,,,,,
59.817,39.5598,0.567146813,0.753091504,,,,,,,,
11.176,44.0048,0.567146813,0.753091504,,,,,,,,
11.176,43.6252,0.567146813,0.753091504,,,,,,,,
17.526,27.1152,0.567146813,0.753091504,,,,,,,,
17.526,27.4948,0.567146813,0.753091504,,,,,,,,
16.129,27.4948,0.567146813,0.753091504,,,,,,,,
16.129,27.1152,0.567146813,0.753091504,,,,,,,,
16.129,33.8448,0.567146813,0.753091504,,,,,,,,
16.129,33.4652,0.567146813,0.753091504,,,,,,,,
14.351,17.5902,0.567146813,0.753091504,,,,,,,,
14.351,17.9698,0.567146813,0.753091504,,,,,,,,
12.954,44.0048,0.567146813,0.753091504,,,,,,,,
12.954,43.6252,0.567146813,0.753091504,,,,,,,,
14.351,27.4948,0.567146813,0.753091504,,,,,,,,
14.351,27.1152,0.567146813,0.753091504,,,,,,,,
14.351,33.8448,0.567146813,0.753091504,,,,,,,,
14.351,33.4652,0.567146813,0.753091504,,,,,,,,
28.829,13.5248,0.567146813,0.753091504,,,,,,,,
28.829,13.1452,0.567146813,0.753091504,,,,,,,,
27.051,13.5248,0.567146813,0.753091504,,,,,,,,
27.051,13.1452,0.567146813,0.753091504,,,,,,,,
37.719,6.9222,0.567146813,0.753091504,,,,,,,,
37.719,7.3018,0.567146813,0.753091504,,,,,,,,
39.497,6.9222,0.567146813,0.753091504,,,,,,,,
39.497,7.3018,0.567146813,0.753091504,,,,,,,,
77.0102,23.74,0.401433631,0.633587903,,,,,,,,
75.8258,23.74,0.401433631,0.633587903,,,,,,,,
72.5102,23.74,0.401433631,0.633587903,,,,,,,,
71.3258,23.74,0.401433631,0.633587903,,,,,,,,
74.7602,23.74,0.401433631,0.633587903,,,,,,,,
73.5758,23.74,0.401433631,0.633587903,,,,,,,,
77.0102,32.14,0.401433631,0.633587903,,,,,,,,
75.8258,32.14,0.401433631,0.633587903,,,,,,,,
72.5102,32.14,0.401433631,0.633587903,,,,,,,,
71.3258,32.14,0.401433631,0.633587903,,,,,,,,
18.9919,30.48,0.375234886,0.61256419,,,,,,,,
